time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
2300,2024-07-02 11:12:01,51.5367944899455,61.1510348173596,0,0.03280839999997,1020.1380218176,1020.1708302176,0.328084,0,0.44803807208,0.46581038236,21,5,17.089,1020.1708302176,0,0,0.44803807208,0,0,-0.894776,168, 0.2, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.1708302176,0,11,AutoTakeoff,
2500,2024-07-02 11:12:01,51.536794426347,61.1510348426755,0.328084,0.36089239999997,1020.1380218176,1020.4989142176,0.328084,0,0.4294783602,0.4897145826,21,5,17.089,1020.4989142176,0.328084,0,0.44803807208,0,0,-0.894776,167.9, 1.8, 0.3,0,0,1024,1024,1202,1024,0,0,27,0,167.9,0,0,95,4.267,4.254,4.265,4.256,0,0,1.671,70.16,1020.4989142176,0.328084,11,AutoTakeoff,
2700,2024-07-02 11:12:01,51.5367943995549,61.1510347216099,0.656168,0.68897639999997,1020.1380218176,1020.8269982176,0.656168,0,0.40910106296,0.51887796936,22,5,16.842,1020.8269982176,0.656168,0,0.44803807208,0,0,-0.894776,168, 1.9, -0.5,0,0,1024,1024,1613,1024,0,0,89,0,167.9,0,0,95,4.174,4.155,4.168,4.169,0,0,4.399,70.34,1020.8269982176,0.656168,11,AutoTakeoff,
2900,2024-07-02 11:12:01,51.536794446184,61.1510344883422,1.312336,1.312336,1020.1708302176,1021.4831662176,1.312336,0,0.40755906816,0.57448164568,22,5,16.842,1021.4831662176,1.312336,0,0.44803807208,0,0,-1.789552,168, 0.8, -2.5,0,0,1024,1024,1684,1024,0,0,100,0,167.9,0,0,95,4.174,4.155,4.168,4.169,0,0,4.399,70.34,1021.4831662176,1.312336,11,AutoTakeoff,
3100,2024-07-02 11:12:01,51.5367945094485,61.1510343610885,1.968504,2.0013124,1020.1380218176,1022.1393342176,1.968504,0,0.42345145712,0.61145343164,23,5,16.842,1022.1393342176,1.968504,0,0.44803807208,0,0,-3.35541,167.5, -0.2, -2.1,0,0,1024,1024,1684,1024,0,0,100,0,167.9,0,0,95,4.174,4.155,4.168,4.169,0,0,4.399,70.34,1022.1393342176,1.968504,11,AutoTakeoff,
3300,2024-07-02 11:12:02,51.5367946140543,61.1510345088863,3.28084,3.3136484,1020.1380218176,1023.4516702176,3.28084,0.223694,0.46797573676,0.66226051988,23,5,16.842,1023.4516702176,3.28084,0.223694,0.46797573676,0,0.223694,-5.368656,166.8, 0.8, 0,0,0,1024,1024,1684,1024,0,0,100,0,167.8,0,0,95,4.174,4.155,4.168,4.169,0,0,4.399,70.34,1023.4516702176,3.28084,11,AutoTakeoff,
3500,2024-07-02 11:12:02,51.5367947234156,61.1510347634781,5.249344,5.2821524,1020.1380218176,1025.4201742176,5.249344,0,0.52276576476,0.73247705756,23,5,16.842,1025.4201742176,5.249344,0.223694,0.52276576476,0,0,-7.605596,166.9, 1.5, 1.3,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.174,4.155,4.168,4.169,0,0,4.399,70.34,1025.4201742176,5.249344,6,P-GPS,
3700,2024-07-02 11:12:02,51.5367948840407,61.151034878844,8.530184,8.5629924,1020.1380218176,1028.7010142176,7.874016,0,0.58673886392,0.79666341132,23,5,16.769,1028.7010142176,8.530184,0.223694,0.58673886392,0,0,-9.618842,168.7, 1.5, -0.3,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.048,4.026,4.039,4.033,0,0,4.072,70.16,1028.7010142176,8.530184,6,P-GPS,"Домашняя точка обновлена (Code: 3000001)"
3900,2024-07-02 11:12:02,51.5367952386823,61.1510350825256,12.467192,12.5000004,1020.1380218176,1032.6380222176,11.154856,0,0.72413716228,0.93406499052,23,5,16.769,1032.6380222176,12.467192,0.223694,0.72413716228,0,0,-11.632088,169.5, 0.5, -0.1,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.048,4.026,4.039,4.033,0,0,4.072,70.16,1032.6380222176,12.467192,6,P-GPS,
4100,2024-07-02 11:12:03,51.5367954809129,61.151035572748,17.060368,17.1259848,1020.1052134176,1037.2311982176,14.76378,0.223694,0.8481299484,1.07614504756,23,5,16.769,1037.2311982176,17.060368,0.223694,0.8481299484,0,0.223694,-12.974252,171, 3.6, 2.5,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.048,4.026,4.039,4.033,0,0,4.072,70.16,1037.2311982176,17.060368,6,P-GPS,
4300,2024-07-02 11:12:03,51.5367956614553,61.1510362705895,22.309712,22.3753288,1020.1052134176,1042.4805422176,18.372704,0.223694,0.9811516062,1.24766736276,23,5,16.769,1042.4805422176,22.309712,0.223694,0.9811516062,0,0.223694,-13.197946,173.1, 5.2, 3.8,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.048,4.026,4.039,4.033,0,0,4.072,70.16,1042.4805422176,22.309712,6,P-GPS,
4500,2024-07-02 11:12:03,51.5367959006994,61.1510369536068,26.574804,26.6404208,1020.1052134176,1046.7456342176,22.309712,0,1.13992129632,1.42556106924,23,5,16.769,1046.7456342176,26.574804,0.223694,1.13992129632,0,0,-13.42164,172.8, 4, 3.7,0,0,1024,1024,1684,1024,0,0,100,0,167.7,0,0,95,4.048,4.026,4.039,4.033,0,0,4.072,70.16,1046.7456342176,26.574804,6,P-GPS,
4700,2024-07-02 11:12:03,51.536796090634,61.1510373860925,30.839896,30.9055128,1020.1052134176,1051.0107262176,26.574804,0,1.25420607688,1.54570543004,22,5,16.356,1051.0107262176,30.839896,0.223694,1.25420607688,0,0,-13.42164,172.8, -0.5, 4.4,0,0,1388,1024,1684,1024,55,0,100,0,167.7,0,0,95,4.055,4.042,4.059,4.061,0,0,9.272,70.16,1051.0107262176,30.839896,6,P-GPS,
4900,2024-07-02 11:12:03,51.5367960418129,61.1510376180511,34.44882,34.5472452,1020.0724050176,1054.6196502176,30.511812,0,1.27336618248,1.6012795788,23,5,16.356,1054.6196502176,34.44882,0.223694,1.27336618248,0,0,-13.42164,171.3, -0.3, 0.9,0,0,1684,1024,1684,1024,100,0,100,0,167.7,0,0,95,4.055,4.042,4.059,4.061,0,0,9.272,70.16,1054.6196502176,34.44882,6,P-GPS,
5100,2024-07-02 11:12:03,51.5367956007737,61.1510379192952,38.057744,38.1561692,1020.0724050176,1058.2285742176,34.44882,0.7158208,1.20427497292,1.77611226156,23,5,16.356,1058.2285742176,38.057744,0.7158208,1.27336618248,-0.671082,0.223694,-13.645334,169.4, -19.2, 2.1,0,0,1684,1024,1684,1024,100,0,100,0,167.7,0,0,95,4.055,4.042,4.059,4.061,0,0,9.272,70.16,1058.2285742176,38.057744,6,P-GPS,
5300,2024-07-02 11:12:04,51.5367937503482,61.1510382816466,41.994752,42.0603688,1020.1052134176,1062.1655822176,36.08924,3.1540854,0.97964570064,2.45623039356,23,5,16.356,1062.1655822176,41.994752,3.1540854,1.27336618248,-3.131716,0.447388,-13.645334,172.3, -23.9, 1.8,0,0,1684,1024,1531,1024,100,0,77,0,167.7,0,0,95,4.055,4.042,4.059,4.061,0,0,9.272,70.16,1062.1655822176,41.994752,6,P-GPS,
5500,2024-07-02 11:12:04,51.5367899526718,61.1510373072334,45.603676,45.6364844,1020.1380218176,1065.7745062176,39.698164,5.368656,1.45420936412,3.8593505172,23,5,16.356,1065.7745062176,45.603676,5.368656,1.45420936412,-5.368656,0.223694,-13.42164,180.9, -21.8, 1.5,0,0,1684,1024,1251,1024,100,0,34,0,167.7,0,0,95,4.055,4.042,4.059,4.061,0,0,9.272,70.16,1065.7745062176,45.603676,6,P-GPS,
